iter	Logloss	Accuracy
632	0.116739368	0.9677283998
633	0.116736079	0.967804692
634	0.1167158653	0.967804692
635	0.1166425643	0.9678809842
636	0.1166392942	0.9678809842
637	0.1166191077	0.9679191303
638	0.1166156383	0.9679191303
639	0.1165503156	0.9678809842
640	0.11654464	0.9678809842
641	0.116532763	0.9678809842
642	0.1165032896	0.9679191303
643	0.1163743442	0.9679191303
644	0.1163368135	0.9678809842
645	0.1163158065	0.9679191303
646	0.1162671631	0.9679191303
647	0.1162578503	0.9679572764
648	0.1162256717	0.9678809842
649	0.1160736412	0.967804692
650	0.1160632127	0.9678428381
651	0.1160153429	0.9679572764
652	0.1160072233	0.9679572764
653	0.1160051211	0.9679572764
654	0.1159989655	0.9679191303
655	0.1159641618	0.9679191303
656	0.1159183752	0.9679572764
657	0.1159140101	0.9679572764
658	0.1159118911	0.9679572764
659	0.1157148277	0.9677665459
660	0.1156965823	0.9677283998
661	0.1155642996	0.9679191303
662	0.1154746604	0.9679954225
663	0.1154401726	0.9679954225
664	0.1154344161	0.9679954225
665	0.1153746648	0.9680335686
666	0.1153726543	0.9680335686
667	0.1153677349	0.9680335686
668	0.1153619098	0.9679954225
669	0.1153526711	0.9679954225
670	0.1152828007	0.9679572764
671	0.1152777202	0.9679572764
672	0.1152745437	0.9678809842
673	0.1152709756	0.9678428381
674	0.115268929	0.9678428381
675	0.1149631051	0.9679572764
676	0.1149542308	0.9680335686
677	0.1149296111	0.9679572764
678	0.1149219487	0.9680717147
679	0.1149184801	0.9680335686
680	0.1147718437	0.9681098608
681	0.1147699852	0.9681098608
682	0.1147407634	0.9683005913
683	0.1146824296	0.9683768835
684	0.1144864213	0.9684150296
685	0.1144607915	0.9684150296
686	0.11444449	0.9684150296
687	0.1144423825	0.9684150296
688	0.1144293332	0.9684913218
689	0.1143756848	0.9684913218
690	0.1143282404	0.9684913218
691	0.1143045171	0.9684150296
692	0.1142570273	0.9684531757
693	0.1142553886	0.9684531757
694	0.1141717445	0.968567614
695	0.1141320676	0.9686057601
696	0.1141245489	0.9686057601
697	0.1141028367	0.9686439062
698	0.114088456	0.968567614
699	0.1140543283	0.9686057601
700	0.1140422755	0.9686057601
701	0.1140236825	0.9686439062
702	0.1140213733	0.9686439062
703	0.1140042557	0.9686439062
704	0.1140021065	0.9686439062
705	0.1139913178	0.9686439062
706	0.1139176847	0.968567614
707	0.1139050873	0.968567614
708	0.11388323	0.9684913218
709	0.1138625992	0.9684531757
710	0.1138077976	0.9685294679
711	0.11380544	0.9685294679
712	0.1135535778	0.9686820523
713	0.1134492566	0.9687964906
714	0.1134442392	0.9687964906
715	0.1132789163	0.9687583445
716	0.1131292401	0.9688727828
717	0.1131154535	0.968949075
718	0.1131132479	0.968949075
719	0.1130154078	0.9690635133
720	0.1129907438	0.9691016594
721	0.1129865459	0.9691016594
722	0.1129849441	0.9691016594
723	0.1129830484	0.9691016594
724	0.1129801912	0.9691016594
725	0.11250271	0.9692923899
726	0.1124978888	0.9692923899
727	0.1124414334	0.969330536
728	0.1123058956	0.9692923899
729	0.1122037359	0.9692542438
730	0.1121652741	0.9692542438
731	0.1121562729	0.9692923899
732	0.1121524314	0.9692923899
733	0.1121066106	0.9692160977
734	0.1120712045	0.9692923899
735	0.1120632583	0.9692923899
736	0.1120314614	0.9693686821
737	0.1118646577	0.9693686821
738	0.1118563938	0.969330536
739	0.1117940365	0.9692542438
740	0.1117936701	0.9692542438
741	0.1117734588	0.9692160977
742	0.1117350811	0.9692542438
743	0.11168165	0.9693686821
744	0.1116752979	0.969330536
745	0.1116500572	0.9693686821
746	0.1116477209	0.9693686821
747	0.1116409843	0.969330536
748	0.1116251174	0.969330536
749	0.1116250529	0.969330536
750	0.1115965145	0.9692923899
751	0.1115417249	0.9692923899
752	0.1115240611	0.9691779516
753	0.1115238803	0.9691779516
754	0.111504034	0.9691779516
755	0.1114851851	0.9692542438
756	0.111466265	0.9691779516
757	0.1114505975	0.9692160977
758	0.1114354439	0.9692542438
759	0.1114180035	0.9692542438
760	0.111403888	0.9692923899
761	0.1113420198	0.9692923899
762	0.1113337212	0.9692923899
763	0.1113275503	0.9692923899
764	0.1112914783	0.969330536
765	0.1112276433	0.9694068282
766	0.1112177682	0.9694068282
767	0.1111921398	0.9694068282
768	0.111134258	0.9694449743
769	0.1111041423	0.9694449743
770	0.1111005956	0.9694449743
771	0.1109239845	0.9696357047
772	0.1108664048	0.969750143
773	0.1108306913	0.9697119969
774	0.1108178279	0.969750143
775	0.1108126406	0.9697119969
776	0.1108044271	0.9697119969
777	0.1107835203	0.9697119969
778	0.1107626077	0.969750143
779	0.1107610667	0.969750143
780	0.1106190749	0.9696357047
781	0.1106060706	0.9696357047
782	0.1105339153	0.969750143
783	0.1103635198	0.9698264352
784	0.1101719083	0.9699408735
785	0.1097904099	0.9698264352
786	0.1097876902	0.9697882891
787	0.1097851791	0.969750143
788	0.1097836868	0.9697119969
789	0.1097808485	0.9697119969
790	0.1097275681	0.9697882891
791	0.1097209004	0.9699027274
792	0.1097034764	0.9698264352
793	0.1096968169	0.9698264352
794	0.1096757655	0.9697882891
795	0.1095657377	0.9698264352
796	0.1095444098	0.9699027274
797	0.1095380172	0.9699408735
798	0.1095367574	0.9699408735
799	0.1095357696	0.9699408735
800	0.1095105844	0.9700171657
801	0.1094957088	0.9700553118
802	0.1094405421	0.9702460423
803	0.1094343347	0.9702078962
804	0.1094339086	0.9702078962
805	0.1094207513	0.9702078962
806	0.1094193781	0.9702078962
807	0.1094036854	0.9701697501
808	0.1093373769	0.9700934579
809	0.1093236397	0.9700934579
810	0.1093205971	0.9700934579
811	0.1092757238	0.9702078962
812	0.1092700675	0.9702078962
813	0.1092598068	0.9702460423
814	0.1092218578	0.9702841884
815	0.1092037516	0.9702841884
816	0.1091940514	0.9702078962
817	0.109184448	0.970131604
818	0.1091647261	0.9702078962
819	0.1090956643	0.9703223345
820	0.1088964628	0.9704749189
821	0.1088956642	0.9704367728
822	0.1088853021	0.9704367728
823	0.1088817497	0.9704367728
824	0.1088602462	0.9704749189
825	0.1088483428	0.9704749189
826	0.1088475123	0.9704749189
827	0.1088358084	0.9704367728
828	0.108822902	0.9704367728
829	0.108810128	0.9704367728
830	0.1088065134	0.9704367728
831	0.108790612	0.9704367728
832	0.1086882203	0.9706656494
833	0.1085913773	0.9708182338
834	0.1085708023	0.9706275033
835	0.1085505263	0.9707800877
836	0.1083970294	0.9707037955
837	0.1083815694	0.9707037955
838	0.1083696576	0.9707037955
839	0.1083669062	0.9706656494
840	0.1083662904	0.9706656494
841	0.1083455325	0.9705893572
842	0.1083395336	0.9706275033
843	0.1083387795	0.9706275033
844	0.1083314635	0.9706275033
845	0.1083255116	0.9705893572
846	0.1082979707	0.9706656494
847	0.1082958998	0.9706656494
848	0.108295618	0.9706656494
849	0.1082425767	0.9705512111
850	0.1082162161	0.9707037955
851	0.1081987088	0.9706656494
852	0.1081975255	0.9706656494
853	0.1081853371	0.9706656494
854	0.1081721663	0.9707037955
855	0.1081684453	0.9707419416
856	0.108160304	0.9707419416
857	0.1081556262	0.9707419416
858	0.1081175552	0.9708182338
859	0.108085959	0.9708182338
860	0.1080105896	0.9707800877
861	0.1079114684	0.9707419416
862	0.1079033103	0.9707800877
863	0.1077833817	0.9707419416
864	0.1077737967	0.9707800877
865	0.1077733945	0.9707800877
866	0.1077401503	0.9708182338
867	0.107689714	0.9707037955
868	0.1076862208	0.9707419416
869	0.1076471282	0.9708182338
870	0.1076397283	0.9708563799
871	0.1076310268	0.9707800877
872	0.1076249346	0.9707800877
873	0.1075528196	0.9707800877
874	0.1075424249	0.9707800877
875	0.1075343038	0.9708182338
876	0.1075226986	0.9708563799
877	0.1075210682	0.9708563799
878	0.1075052369	0.9708563799
879	0.107437838	0.970894526
880	0.1073636218	0.9708563799
881	0.1073352523	0.9708182338
