iter	Passed	Remaining
629	63182	37107
630	63274	37002
631	63370	36898
632	63463	36794
633	63553	36688
634	63638	36579
635	63740	36480
636	63842	36381
637	63939	36279
638	64029	36173
639	64137	36077
640	64233	35974
641	64317	35865
642	64433	35774
643	64553	35685
644	64668	35592
645	64774	35495
646	64864	35389
647	64967	35291
648	65063	35188
649	65151	35081
650	65248	34979
651	65353	34882
652	65451	34780
653	65542	34675
654	65639	34573
655	65739	34472
656	65839	34372
657	65922	34263
658	66011	34157
659	66124	34063
660	66222	33962
661	66327	33865
662	66420	33761
663	66513	33657
664	66610	33555
665	66715	33458
666	66825	33362
667	66946	33272
668	67080	33189
669	67190	33093
670	67317	33006
671	67426	32910
672	67517	32805
673	67609	32701
674	67698	32595
675	67813	32502
676	67906	32398
677	68021	32305
678	68122	32205
679	68226	32106
680	68334	32009
681	68418	31901
682	68522	31803
683	68618	31701
684	68727	31604
685	68821	31501
686	68946	31412
687	69044	31311
688	69139	31207
689	69247	31111
690	69349	31011
691	69448	30910
692	69542	30807
693	69635	30703
694	69745	30607
695	69850	30509
696	69961	30413
697	70066	30315
698	70160	30212
699	70262	30112
700	70366	30013
701	70462	29911
702	70570	29814
703	70682	29718
704	70777	29616
705	70882	29517
706	70983	29417
707	71072	29312
708	71177	29213
709	71276	29112
710	71371	29010
711	71472	28910
712	71577	28811
713	71680	28712
714	71780	28611
715	71895	28517
716	72006	28421
717	72103	28319
718	72194	28215
719	72301	28117
720	72402	28017
721	72504	27917
722	72603	27816
723	72689	27710
724	72793	27611
725	72906	27515
726	72991	27409
727	73098	27311
728	73233	27224
729	73355	27131
730	73478	27039
731	73587	26941
732	73692	26842
733	73809	26748
734	73900	26644
735	74006	26545
736	74136	26455
737	74267	26366
738	74367	26265
739	74463	26162
740	74565	26062
741	74668	25962
742	74767	25861
743	74880	25765
744	74987	25666
745	75093	25567
746	75187	25464
747	75293	25366
748	75405	25269
749	75491	25163
750	75598	25065
751	75701	24965
752	75804	24865
753	75894	24761
754	76001	24662
755	76111	24565
756	76212	24464
757	76313	24363
758	76424	24266
759	76519	24163
760	76612	24061
761	76713	23960
762	76814	23859
763	76910	23757
764	77035	23664
765	77139	23564
766	77240	23464
767	77346	23364
768	77447	23264
769	77540	23161
770	77638	23059
771	77747	22961
772	77832	22856
773	77931	22755
774	78032	22654
775	78133	22554
776	78237	22454
777	78331	22351
778	78438	22252
779	78550	22155
780	78660	22057
781	78773	21959
782	78892	21864
783	78995	21764
784	79100	21664
785	79201	21563
786	79293	21460
787	79379	21356
788	79465	21251
789	79554	21147
790	79637	21041
791	79737	20941
792	79843	20841
793	79944	20741
794	80052	20642
795	80145	20539
796	80234	20436
797	80342	20337
798	80436	20234
799	80529	20132
800	80629	20031
801	80733	19931
802	80845	19833
803	80949	19733
804	81046	19632
805	81147	19531
806	81231	19427
807	81316	19322
808	81423	19223
809	81514	19120
810	81604	19017
811	81700	18915
812	81783	18811
813	81880	18709
814	81982	18609
815	82075	18507
816	82178	18407
817	82275	18305
818	82379	18205
819	82479	18105
820	82582	18005
821	82668	17901
822	82766	17800
823	82868	17700
824	82963	17598
825	83061	17497
826	83149	17394
827	83250	17293
828	83352	17193
829	83446	17091
830	83530	16987
831	83629	16886
832	83730	16786
833	83831	16685
834	83938	16586
835	84041	16486
836	84152	16388
837	84256	16288
838	84355	16187
839	84457	16087
840	84544	15984
841	84655	15885
842	84738	15781
843	84830	15679
844	84923	15577
845	85017	15475
846	85127	15377
847	85235	15278
848	85340	15178
849	85445	15078
850	85545	14978
851	85640	14876
852	85737	14775
853	85837	14674
854	85940	14574
855	86040	14474
856	86134	14372
857	86221	14269
858	86326	14170
859	86413	14067
860	86509	13966
861	86608	13865
862	86704	13764
863	86813	13665
864	86927	13566
865	87037	13467
866	87158	13370
867	87261	13270
868	87355	13168
869	87455	13068
870	87556	12967
871	87652	12866
872	87746	12764
873	87862	12666
874	87966	12566
875	88063	12465
876	88163	12364
877	88249	12262
878	88352	12162
879	88453	12061
880	88545	11960
881	88642	11859
882	88749	11759
883	88841	11657
884	88943	11557
885	89045	11457
886	89148	11357
887	89257	11257
888	89352	11156
889	89455	11056
890	89561	10956
891	89659	10855
892	89751	10754
893	89849	10653
894	89948	10552
895	90045	10451
896	90142	10350
897	90252	10251
898	90367	10152
899	90461	10051
900	90557	9950
901	90649	9848
902	90742	9747
903	90857	9648
904	90963	9548
905	91072	9449
906	91172	9348
907	91272	9247
908	91360	9146
909	91459	9045
910	91547	8943
911	91639	8842
912	91733	8741
913	91829	8640
914	91922	8539
915	92012	8437
916	92107	8336
917	92214	8237
918	92311	8136
919	92411	8035
920	92526	7936
921	92626	7836
922	92728	7735
923	92824	7634
924	92927	7534
925	93021	7433
926	93128	7333
927	93243	7234
928	93349	7134
929	93449	7033
930	93549	6933
931	93652	6833
932	93748	6732
933	93857	6632
934	93952	6531
935	94045	6430
936	94150	6330
937	94237	6228
938	94342	6128
939	94441	6028
940	94535	5927
941	94629	5826
942	94729	5725
943	94827	5625
944	94926	5524
945	95024	5424
946	95117	5323
947	95216	5222
948	95321	5122
949	95426	5022
950	95542	4922
951	95640	4822
952	95743	4721
953	95856	4622
954	95953	4521
955	96059	4421
956	96168	4321
957	96262	4220
958	96361	4119
959	96475	4019
960	96578	3919
961	96669	3818
962	96786	3718
963	96877	3617
964	96989	3517
965	97094	3417
966	97206	3317
967	97305	3216
968	97414	3116
969	97511	3015
970	97625	2915
971	97723	2815
972	97843	2715
973	97971	2615
974	98095	2515
975	98232	2415
976	98335	2314
977	98440	2214
978	98539	2113
979	98640	2013
980	98731	1912
981	98835	1811
982	98941	1711
983	99036	1610
984	99127	1509
985	99231	1408
986	99340	1308
987	99437	1207
988	99540	1107
989	99643	1006
990	99743	905
991	99850	805
992	99946	704
993	100047	603
994	100148	503
995	100245	402
996	100352	301
997	100454	201
998	100552	100
999	100661	0
